game_id,player_a,player_b,first_mover,result,num_moves,avg_move_time_a,avg_move_time_b,error
game_04010,gemini_t7,opus47_t7,gemini_t7,player_b_win,34,1.155,2.291,
game_04011,opus47_t7,gemini_t7,opus47_t7,player_a_win,13,2.346,1.235,
game_04012,opus47_t7,gemini_t7,opus47_t7,player_a_win,13,2.346,1.235,
game_04013,gemini_t7,opus47_t8,gemini_t7,draw,42,1.126,1.130,
game_04014,gemini_t7,opus47_t8,gemini_t7,draw,42,1.130,1.154,
game_04015,opus47_t8,gemini_t7,opus47_t8,player_a_win,33,1.214,1.164,
game_04016,opus47_t8,gemini_t7,opus47_t8,player_a_win,33,1.208,1.171,
game_04017,gemini_t8,opus47_t1,gemini_t8,player_b_win,0,0.000,0.000,crash:gemini_t8:no_next_move
game_04018,gemini_t8,opus47_t1,gemini_t8,player_b_win,0,0.000,0.000,crash:gemini_t8:no_next_move
game_04019,opus47_t1,gemini_t8,opus47_t1,player_a_win,1,2.303,0.000,crash:gemini_t8:no_next_move
game_04020,opus47_t1,gemini_t8,opus47_t1,player_a_win,1,2.303,0.000,crash:gemini_t8:no_next_move
game_04021,gemini_t8,opus47_t2,gemini_t8,player_b_win,0,0.000,0.000,crash:gemini_t8:no_next_move
game_04022,gemini_t8,opus47_t2,gemini_t8,player_b_win,0,0.000,0.000,crash:gemini_t8:no_next_move
game_04023,opus47_t2,gemini_t8,opus47_t2,player_a_win,1,1.702,0.000,crash:gemini_t8:no_next_move
game_04024,opus47_t2,gemini_t8,opus47_t2,player_a_win,1,1.702,0.000,crash:gemini_t8:no_next_move
game_04025,gemini_t8,opus47_t3,gemini_t8,player_b_win,0,0.000,0.000,crash:gemini_t8:no_next_move
game_04026,gemini_t8,opus47_t3,gemini_t8,player_b_win,0,0.000,0.000,crash:gemini_t8:no_next_move
game_04027,opus47_t3,gemini_t8,opus47_t3,player_a_win,1,1.602,0.000,crash:gemini_t8:no_next_move
game_04028,opus47_t3,gemini_t8,opus47_t3,player_a_win,1,1.602,0.000,crash:gemini_t8:no_next_move
game_04029,gemini_t8,opus47_t4,gemini_t8,player_b_win,0,0.000,0.000,crash:gemini_t8:no_next_move
game_04030,gemini_t8,opus47_t4,gemini_t8,player_b_win,0,0.000,0.000,crash:gemini_t8:no_next_move
game_04031,opus47_t4,gemini_t8,opus47_t4,player_a_win,1,1.102,0.000,crash:gemini_t8:no_next_move
game_04032,opus47_t4,gemini_t8,opus47_t4,player_a_win,1,1.102,0.000,crash:gemini_t8:no_next_move
game_04033,gemini_t8,opus47_t5,gemini_t8,player_b_win,0,0.000,0.000,crash:gemini_t8:no_next_move
game_04034,gemini_t8,opus47_t5,gemini_t8,player_b_win,0,0.000,0.000,crash:gemini_t8:no_next_move
game_04035,opus47_t5,gemini_t8,opus47_t5,player_a_win,1,1.902,0.000,crash:gemini_t8:no_next_move
game_04036,opus47_t5,gemini_t8,opus47_t5,player_a_win,1,2.002,0.000,crash:gemini_t8:no_next_move
game_04037,gemini_t8,opus47_t6,gemini_t8,player_b_win,0,0.000,0.000,crash:gemini_t8:no_next_move
game_04038,gemini_t8,opus47_t6,gemini_t8,player_b_win,0,0.000,0.000,crash:gemini_t8:no_next_move
game_04039,opus47_t6,gemini_t8,opus47_t6,player_a_win,1,2.203,0.000,crash:gemini_t8:no_next_move
game_04040,opus47_t6,gemini_t8,opus47_t6,player_a_win,1,2.203,0.000,crash:gemini_t8:no_next_move
game_04041,gemini_t8,opus47_t7,gemini_t8,player_b_win,0,0.000,0.000,crash:gemini_t8:no_next_move
game_04042,gemini_t8,opus47_t7,gemini_t8,player_b_win,0,0.000,0.000,crash:gemini_t8:no_next_move
game_04043,opus47_t7,gemini_t8,opus47_t7,player_a_win,1,2.603,0.000,crash:gemini_t8:no_next_move
game_04044,opus47_t7,gemini_t8,opus47_t7,player_a_win,1,2.703,0.000,crash:gemini_t8:no_next_move
game_04045,gemini_t8,opus47_t8,gemini_t8,player_b_win,0,0.000,0.000,crash:gemini_t8:no_next_move
game_04046,gemini_t8,opus47_t8,gemini_t8,player_b_win,0,0.000,0.000,crash:gemini_t8:no_next_move
game_04047,opus47_t8,gemini_t8,opus47_t8,player_a_win,1,1.302,0.000,crash:gemini_t8:no_next_move
game_04048,opus47_t8,gemini_t8,opus47_t8,player_a_win,1,1.302,0.000,crash:gemini_t8:no_next_move
game_04049,opus47_t1,opus47_t2,opus47_t1,player_a_win,39,2.173,1.360,
game_04050,opus47_t1,opus47_t2,opus47_t1,player_a_win,39,2.183,1.355,
game_04051,opus47_t2,opus47_t1,opus47_t2,player_a_win,15,1.339,2.203,
game_04052,opus47_t2,opus47_t1,opus47_t2,player_a_win,15,1.352,2.203,
game_04053,opus47_t1,opus47_t3,opus47_t1,player_a_win,41,2.189,1.527,
game_04054,opus47_t1,opus47_t3,opus47_t1,player_a_win,41,2.184,1.522,
game_04055,opus47_t3,opus47_t1,opus47_t3,player_a_win,37,1.508,2.164,
game_04056,opus47_t3,opus47_t1,opus47_t3,player_a_win,37,1.518,2.170,
game_04057,opus47_t1,opus47_t4,opus47_t1,player_a_win,29,2.203,1.073,
game_04058,opus47_t1,opus47_t4,opus47_t1,player_a_win,29,2.196,1.066,
game_04059,opus47_t4,opus47_t1,opus47_t4,player_b_win,32,1.139,2.234,
game_04060,opus47_t4,opus47_t1,opus47_t4,player_b_win,32,1.127,2.228,
game_04061,opus47_t1,opus47_t5,opus47_t1,player_b_win,40,2.168,1.672,
game_04062,opus47_t1,opus47_t5,opus47_t1,player_b_win,40,2.173,1.667,
game_04063,opus47_t5,opus47_t1,opus47_t5,player_a_win,35,1.741,2.215,
game_04064,opus47_t5,opus47_t1,opus47_t5,player_a_win,35,1.741,2.215,
game_04065,opus47_t1,opus47_t6,opus47_t1,player_a_win,37,2.171,2.103,
game_04066,opus47_t1,opus47_t6,opus47_t1,player_a_win,37,2.177,2.103,
game_04067,opus47_t6,opus47_t1,opus47_t6,player_a_win,33,2.091,2.209,
game_04068,opus47_t6,opus47_t1,opus47_t6,player_a_win,33,2.103,2.203,
game_04069,opus47_t1,opus47_t7,opus47_t1,player_a_win,39,2.183,2.282,
game_04070,opus47_t1,opus47_t7,opus47_t1,player_a_win,39,2.178,2.293,
game_04071,opus47_t7,opus47_t1,opus47_t7,player_b_win,32,2.347,2.259,
game_04072,opus47_t7,opus47_t1,opus47_t7,player_b_win,32,2.353,2.266,
game_04073,opus47_t1,opus47_t8,opus47_t1,player_a_win,27,2.203,1.294,
game_04074,opus47_t1,opus47_t8,opus47_t1,player_a_win,27,2.210,1.294,
game_04075,opus47_t8,opus47_t1,opus47_t8,player_a_win,29,1.195,2.189,
